#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
197.53	0.716	37.52	35.69	32.88	36.04	31.75	202.44	13	0.84	0.742	-8.95	-50.20	-100.00	-8.10	55.56	-10000	
188.24	0.683	25.93	25.25	17.50	21.89	23.70	202.44	12	3.08	0.613	3.86	-57.31	-100.00	3.08	55.56	-10000	
195.12	0.846	21.10	21.00	4.33	5.00	20.93	-10000	1	20.82	0.582	10.06	-72.86	-100.00	20.82	-10000	-10000	
192.77	0.528	28.60	24.66	26.35	23.96	23.15	-10000	1	2.50	0.764	3.29	-63.83	-100.00	2.50	-10000	-10000	
183.91	0.689	42.82	36.83	41.56	41.35	32.87	195.09	13	-8.11	0.841	-5.80	-53.30	-100.00	-13.91	54.92	-10000	
181.82	0.840	42.45	36.69	41.11	40.96	33.99	179.73	13	-6.76	0.716	-6.47	-43.61	-100.00	-13.23	53.50	-10000	
181.82	0.830	35.41	32.18	32.60	30.83	31.49	181.71	13	3.11	0.844	-5.63	-64.15	-100.00	-2.52	53.69	-10000	
181.82	0.824	32.09	29.40	28.74	26.70	28.50	179.73	13	3.49	0.785	-8.26	-62.71	-100.00	-4.77	53.50	-10000	
179.78	0.828	29.14	26.51	25.70	21.97	25.98	179.73	12	8.76	0.682	-9.09	-60.64	0.62	-0.33	53.50	-10000	
173.91	0.940	29.03	24.89	26.91	23.89	23.86	-10000	1	3.93	0.576	-4.01	-53.72	-100.00	-0.08	-10000	-10000	
173.91	0.912	29.52	22.77	28.48	26.26	21.02	-10000	1	-5.45	0.587	1.06	-51.81	-100.00	-5.45	-10000	-10000	
173.91	0.920	30.05	21.57	29.39	25.23	19.21	-10000	1	-2.73	0.671	5.10	-56.79	-100.00	-2.73	-10000	-10000	
175.82	0.818	30.39	21.00	29.86	24.19	16.71	-10000	1	-3.72	0.519	6.03	-51.23	-100.00	-3.72	-10000	-10000	
172.04	0.733	35.73	25.15	35.34	27.95	14.83	-10000	6	-10.40	0.532	7.16	-47.95	-100.00	-10.40	-10000	-10000	
172.04	0.490	39.72	23.61	39.61	27.19	-10000	-10000	1	-13.28	0.514	1.51	-48.05	-100.00	-19.74	-10000	-10000	
103.23	0.332	40.14	22.16	40.07	25.31	-10000	-10000	1	-20.52	0.532	-4.11	-50.59	-100.00	-28.94	-10000	-10000	
-10000	-10000	39.66	20.67	39.61	23.21	-10000	-10000	1	-19.68	0.559	-1.26	-53.72	-100.00	-27.88	-10000	-10000	
95.81	0.366	37.06	18.51	37.00	20.71	-8.83	-10000	1	-2.22	0.682	-7.96	-61.90	-100.00	-21.98	-10000	-10000	
188.24	0.454	34.03	19.65	33.87	20.59	-13.29	-10000	1	5.35	0.679	-10.78	-61.85	-100.00	-24.06	-10000	-10000	
-10000	-10000	31.26	11.53	31.22	14.74	-10000	-10000	1	-7.02	0.500	-5.62	-60.01	-100.00	-28.54	-10000	-10000	
50.47	0.754	31.18	8.06	31.16	11.42	-20.96	-10000	1	-17.44	0.429	-3.39	-61.02	-100.00	-27.03	-10000	-10000	
68.38	0.554	31.84	10.85	31.80	13.19	-10000	-10000	1	-19.74	0.552	-8.85	-63.46	-100.00	-29.90	-10000	-10000	
67.51	0.605	31.57	9.82	31.54	12.67	-19.83	-10000	1	-9.80	0.405	-8.00	-59.05	-100.00	-26.98	-10000	-10000	
58.39	0.629	34.00	10.77	33.98	13.80	-10000	-10000	1	-8.98	0.502	-10.01	-61.02	-100.00	-30.72	-10000	-10000	
-10000	-10000	32.68	11.51	32.65	15.97	-10000	-10000	1	-10.67	0.526	-17.92	-59.70	-100.00	-33.80	-10000	-10000	
-10000	-10000	34.75	13.11	34.72	17.31	-10000	-10000	1	-15.78	0.528	-17.67	-58.44	-100.00	-33.46	-10000	-10000	
-10000	-10000	35.72	17.03	35.66	19.54	5.71	-10000	1	-12.30	0.715	-17.99	-64.97	0.38	-33.17	-10000	-10000	
-10000	-10000	36.67	19.43	36.59	20.95	-11.85	-10000	1	-15.73	0.628	-18.30	-58.93	-100.00	-39.18	-10000	-10000	
-10000	-10000	37.79	20.45	37.71	21.63	-10000	-10000	1	-21.19	0.430	-16.54	-50.84	-100.00	-37.73	-10000	-10000	
-10000	-10000	39.11	19.87	39.06	21.24	-10000	-10000	1	-18.04	0.644	-18.85	-59.41	-100.00	-36.90	-10000	-10000	
-10000	-10000	42.14	23.00	42.09	23.64	-11.81	-10000	1	-18.46	0.568	-17.90	-53.65	-100.00	-36.36	-10000	-10000	
-10000	-10000	41.12	24.88	41.01	25.73	-11.11	-10000	1	-17.84	0.669	-19.15	-56.18	0.43	-36.99	-10000	-10000	
-10000	-10000	34.70	20.65	34.53	21.48	-10000	-10000	1	-10.68	0.626	-16.33	-58.31	-100.00	-30.52	-10000	-10000	
-10000	-10000	16.59	6.71	16.12	7.08	-10000	-10000	1	-9.00	0.772	-10.73	-81.31	-100.00	-30.15	-10000	-10000	
-10000	-10000	-74.58	-78.93	-76.59	-77.45	-10000	-10000	1	-1.14	-1.000	8.11	-140.16	-100.00	-5.79	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
